chr10	101201002	101201451	1	LTR7	-	solo:LTR7:1
chr10	110371738	110372090	1	LTR7B	-	solo:LTR7B:2
chr10	112328422	112328890	1	LTR7C	+	solo:LTR7C:3
chr10	118701973	118702351	1	LTR7	+	solo:LTR7:4
chr10	118963597	118964030	1	LTR7B	-	solo:LTR7B:5
chr10	120106602	120107028	1	LTR7B	-	solo:LTR7B:6
chr10	122639303	122639670	1	LTR7	-	solo:LTR7:7
chr10	124800426	124800816	1	LTR7	+	solo:LTR7:8
chr10	130487052	130487525	1	LTR7C	+	solo:LTR7C:9
chr10	131050053	131050303	2	LTR7B,LTR7B	+	solo:LTR7B:10
chr10	133004174	133004613	1	LTR7Y	+	solo:LTR7Y:11
chr10	17022862	17022904	1	LTR7B	+	solo:LTR7B:12
chr10	17376961	17377401	1	LTR7C	+	solo:LTR7C:13
chr10	17385378	17385754	1	LTR7	-	solo:LTR7:14
chr10	17618419	17618565	1	LTR7	+	solo:LTR7:15
chr10	18582949	18583421	1	LTR7C	+	solo:LTR7C:16
chr10	18597964	18598392	1	LTR7B	+	solo:LTR7B:17
chr10	20370845	20371294	1	LTR7	-	solo:LTR7:18
chr10	21751373	21751765	1	LTR7	-	solo:LTR7:19
chr10	23457308	23457737	1	LTR7B	-	solo:LTR7B:20
chr10	25902388	25902799	1	LTR7	-	solo:LTR7:21
chr10	26352428	26352861	1	LTR7	+	solo:LTR7:22
chr10	28473583	28473820	1	LTR7	-	solo:LTR7:23
chr10	33533193	33533304	1	LTR7Y	+	solo:LTR7Y:24
chr10	43320563	43321025	1	LTR7B	+	solo:LTR7B:25
chr10	45045462	45045865	1	LTR7	-	solo:LTR7:26
chr10	45506665	45506903	2	LTR7,LTR7	-	solo:LTR7:27
chr10	45590826	45591263	1	LTR7B	+	solo:LTR7B:28
chr10	46054554	46055019	1	LTR7C	-	solo:LTR7C:29
chr10	49772757	49773150	1	LTR7	-	solo:LTR7:30
chr10	50503341	50503701	1	LTR7	+	solo:LTR7:31
chr10	53358812	53359266	1	LTR7	-	solo:LTR7:32
chr10	55823267	55823691	1	LTR7C	+	solo:LTR7C:33
chr10	6008033	6008421	1	LTR7B	+	solo:LTR7B:34
chr10	6193560	6194021	1	LTR7B	-	solo:LTR7B:35
chr10	64506819	64507214	1	LTR7	+	solo:LTR7:36
chr10	65904170	65904599	1	LTR7B	-	solo:LTR7B:37
chr10	70625492	70626932	2	LTR7,LTR7	+	solo:LTR7:38
chr10	80910388	80910748	1	LTR7	-	solo:LTR7:39
chr10	82678185	82678587	1	LTR7	-	solo:LTR7:40
chr10	82960542	82961005	1	LTR7	+	solo:LTR7:41
chr10	83167134	83167555	1	LTR7C	+	solo:LTR7C:42
chr10	83429511	83429886	1	LTR7	-	solo:LTR7:43
chr10	89329768	89330178	1	LTR7	-	solo:LTR7:44
chr10	90384551	90384961	1	LTR7	+	solo:LTR7:45
chr10	91344525	91344877	1	LTR7B	+	solo:LTR7B:46
chr10	95229140	95231643	2	LTR7,LTR7	+	solo:LTR7:47
chr10	96308589	96309019	1	LTR7B	-	solo:LTR7B:48
chr10	97338914	97339356	1	LTR7Y	+	solo:LTR7Y:49
chr10_GL383545v1_alt	53801	54210	1	LTR7	+	solo:LTR7:50
chr1	103965564	103966003	1	LTR7B	-	solo:LTR7B:51
chr1	10416522	10416951	1	LTR7	-	solo:LTR7:52
chr1	109836878	109837310	1	LTR7B	-	solo:LTR7B:53
chr11	102911953	102912394	1	LTR7C	+	solo:LTR7C:54
chr11	103672811	103673126	1	LTR7B	+	solo:LTR7B:55
chr1	110437927	110438360	1	LTR7	+	solo:LTR7:56
chr11	107878984	107879367	1	LTR7B	+	solo:LTR7B:57
chr11	11551685	11552117	1	LTR7B	-	solo:LTR7B:58
chr11	116450268	116450679	1	LTR7	+	solo:LTR7:59
chr11	119649892	119650304	1	LTR7	-	solo:LTR7:60
chr11	121298712	121299068	1	LTR7	-	solo:LTR7:61
chr11	122692866	122693353	1	LTR7Y	-	solo:LTR7Y:62
