BindingID	chromo	middle		
CTCF:62614	chr1	186		
CTCF:63319	chr1	587		
CTCF:53940	chr1	1010		
CTCF:4625	chr1	1240		
CTCF:52017	chr1	5585		
CTCF:78771	chr1	6118		
CTCF:26869	chr1	81344		
CTCF:72184	chr1	124524		
CTCF:22745	chr1	227618		
CTCF:53154	chr1	511441		
CTCF:78770	chr1	534600		
CTCF:59148	chr1	534880		
CTCF:33683	chr1	535182		
CTCF:10439	chr1	535937		
CTCF:7201	chr1	704104		
CTCF:60255	chr1	715056		
CTCF:70593	chr1	782082		
CTCF:609	chr1	795174		
CTCF:85512	chr1	798451		
CTCF:2339	chr1	830005		
CTCF:27053	chr1	838254		
CTCF:79988	chr1	845035		
CTCF:31592	chr1	846463		
CTCF:80109	chr1	851634		
CTCF:65024	chr1	854250		
CTCF:48332	chr1	863523		
CTCF:29306	chr1	864535		
CTCF:85396	chr1	865625		
CTCF:63882	chr1	873547		
CTCF:22537	chr1	876824		
CTCF:33879	chr1	901486		
CTCF:5356	chr1	909586		
CTCF:66442	chr1	923883		
CTCF:5127	chr1	927272		
CTCF:18941	chr1	940807		
CTCF:79493	chr1	941500		
CTCF:25989	chr1	944660		
CTCF:36534	chr1	957831		
CTCF:18993	chr1	958364		
CTCF:69980	chr1	960572		
CTCF:62411	chr1	966034		
CTCF:61634	chr1	976530		
CTCF:44979	chr1	984719		
CTCF:14579	chr1	989227		
CTCF:4957	chr1	1047518		
CTCF:74067	chr1	1058210		
CTCF:51493	chr1	1099828		
CTCF:60137	chr1	1131360		
CTCF:32366	chr1	1132384		
CTCF:60933	chr1	1172470		
CTCF:10192	chr1	1175586		
CTCF:55561	chr1	1177758		
CTCF:73958	chr1	1179064		
CTCF:18420	chr1	1190448		
CTCF:75634	chr1	1193052		
CTCF:65416	chr1	1210184		
CTCF:17656	chr1	1215614		
CTCF:9912	chr1	1217288		
CTCF:29072	chr1	1225459		
CTCF:12067	chr1	1227369		
CTCF:83674	chr1	1230641		
CTCF:46927	chr1	1231523		
CTCF:11029	chr1	1270043		
CTCF:54683	chr1	1270515		
CTCF:12109	chr1	1274649		
CTCF:51529	chr1	1280079		
CTCF:50746	chr1	1287481		
CTCF:2022	chr1	1297471		
CTCF:47281	chr1	1300500		
CTCF:29411	chr1	1301773		
CTCF:17208	chr1	1324836		
CTCF:8253	chr1	1327413		
CTCF:59792	chr1	1334776		
CTCF:30361	chr1	1345395		
CTCF:36131	chr1	1355813		
CTCF:87771	chr1	1360713		
CTCF:1988	chr1	1366335		
CTCF:42604	chr1	1378348		
CTCF:14228	chr1	1381320		
CTCF:35614	chr1	1387229		
CTCF:83826	chr1	1392925		
CTCF:67851	chr1	1395920		
CTCF:67441	chr1	1411639		
CTCF:10811	chr1	1430330		
CTCF:41101	chr1	1430930		
CTCF:30980	chr1	1476420		
CTCF:85753	chr1	1477329		
CTCF:55420	chr1	1499228		
CTCF:82440	chr1	1511646		
CTCF:36215	chr1	1523068		
CTCF:15888	chr1	1524829		
CTCF:11989	chr1	1545525		
CTCF:77864	chr1	1550510		
CTCF:75480	chr1	1553897		
CTCF:81734	chr1	1554460		
CTCF:47695	chr1	1558278		
CTCF:71	chr1	1570312		
CTCF:87567	chr1	1580026		
CTCF:901	chr1	1580716		
CTCF:14445	chr1	1587181		
CTCF:20027	chr1	1600392		
CTCF:83687	chr1	1610049		
CTCF:81439	chr1	1613634		
CTCF:82525	chr1	1614037		
CTCF:4853	chr1	1614681		
CTCF:80554	chr1	1645791		
CTCF:73910	chr1	1673646		
CTCF:85132	chr1	1674141		
CTCF:55332	chr1	1674800		
CTCF:26151	chr1	1700393		
CTCF:15893	chr1	1710523		
CTCF:31328	chr1	1716526		
CTCF:28271	chr1	1717980		
CTCF:63251	chr1	1777107		
CTCF:30963	chr1	1780080		
CTCF:40583	chr1	1795262		
CTCF:38318	chr1	1820664		
CTCF:2963	chr1	1827731		
CTCF:12790	chr1	1830435		
CTCF:59274	chr1	1840371		
CTCF:1217	chr1	1865480		
CTCF:32491	chr1	1876298		
CTCF:48175	chr1	1876692		
CTCF:3432	chr1	1881514		
CTCF:77995	chr1	1895784		
CTCF:85443	chr1	1930843		
CTCF:87551	chr1	1959052		
CTCF:85037	chr1	1964843		
CTCF:11262	chr1	1966323		
CTCF:8227	chr1	1967960		
CTCF:16354	chr1	1970889		
CTCF:72814	chr1	1976172		
CTCF:43294	chr1	1977380		
CTCF:11027	chr1	2013103		
CTCF:20853	chr1	2026081		
CTCF:17838	chr1	2030077		
CTCF:29119	chr1	2053690		
CTCF:6775	chr1	2061220		
CTCF:70643	chr1	2084732		
CTCF:72495	chr1	2095028		
CTCF:5685	chr1	2095777		
CTCF:4611	chr1	2116652		
CTCF:60583	chr1	2121048		
CTCF:43595	chr1	2134503		
CTCF:58854	chr1	2148950		
CTCF:76078	chr1	2150620		
CTCF:21339	chr1	2159170		
CTCF:50849	chr1	2197546		
CTCF:30130	chr1	2232950		
CTCF:19797	chr1	2236638		
CTCF:78305	chr1	2269544		
