E_ID	pubmed	symbol	reference gene	chr	satrt_p	end_p	species	Biosample_name	experiment_class	enhancer_experiment	Enhancer_type	enhancer_target_experiment_Description 	target_gene	Disease	DO	mesh	Enhancer_function	enhancer_function_experiment	Enhancer_function_experiment_Description	TF_name	experiment	experiment_Description	SNP_symbol	SNP_position	SNPexperiment	Distance_from_TSS	
E_01_001	28652246	--	hg19	chr6	86160197	86176777	Human	Melanoma	Low throughput	"ChIP-seq,Transgenic mice,Immunoblots"	Enhancer	We identified a critical c-Jun/AP-1 binding site in an intronic Enhancer of the CD73 gene that controls its c-Jun/AP-1-dependent transcriptional activation downstream of mitogenic MAPK and inflammatory cytokine signaling.	NT5E	Melanoma	DOID:1909	D008545	The intronic Enhancer of the CD73 gene controls its c-Jun/AP-1-dependent transcriptional activation downstream of mitogenic MAPK and inflammatory cytokine signaling. 	ChIP-seq	 A ChIP-qPCR  approach revealed prominent binding of c-Jun at the AP-1 sites #1-2 and #5-6 coinciding with Enhancer regions (H3K27Ac) identified by the ENCODE ChIP-seq project	JUN	ChIP-qPCR	We looked for potential c-Jun/AP-1每binding sites in the CD73 gene using ENCODE ChIP-Seq data.A ChIP-qPCR approach revealed prominent binding of c-Jun at the AP-1 sites #1每2 and #5每6 coinciding with Enhancer regions (H3K27Ac)identified by the ENCODE ChIP-seq project.	--	--	--	Intron	
E_01_002	26656844	MYC-LASE	hg19	chr8	129166547	129190290	Human	Lung Adenocarcinoma	Low throughput	"ChIP-seq,Luciferase,3C每qPCR,CRISPR/Cas9,siRNA"	Super-Enhancer	"We performed chromosome conformation capture (3C) assays in A549 and Ishikawa cells and found that MYC-LASE physically interacted with the MYC promoter only in A549 cells and, reciprocally,that MYC-ECSE physically interacted with the MYC promoter only in Ishikawa cells."	MYC	Lung Adenocarcinoma	DOID:3910	D000077192	Two distinct focal amplifications of super-enhancers 3∩ to MYC in lung adenocarcinoma (MYC-LASE) and endometrial carcinoma (MYC-ECSE) are physically associated with the MYC promoter and correlate with MYC overexpression.	"3C,ChIP-seq"	"We performed chromosome conformation capture (3C) assays in A549 and Ishikawa cells and found that MYC-LASE physically interacted with the MYC promoter only in A549 cells and, reciprocally,that MYC-ECSE physically interacted with the MYC promoter only in Ishikawa cells (Fig. 2e). In addition, tumors with amplification of MYC alone or MYC-LASE or MYC-ECSE alone had higher MYC expression than tumors lacking either amplification (Fig. 2f). These results suggest that both MYC-LASE and MYC-ECSE drive MYC expression through lineage-specific chromatin loops."	--	--	--	--	--	--	>2KB	
E_01_003	24413736	--	hg19	chr5	51773619	51857504	Human	"HEK-293,汕-Cell"	Low throughput	"RNA-seq,ChIP-seq,ChIP,EMSA,PCR,4C,Luciferase Reporter Assay"	Enhancer	"C3-3, a C3 element in a cluster >1 Mb from ISL1, shows selective Enhancer activity in pancreatic islet (pi) of zebrafish 70 hpf embryos. The Enhancer transgene (YFP) was injected into a transgenic line that exhibits fluorescence (mCherry) in insulin+ cells."	ISL1	Type 2 Diabetes Mellitus	DOID:9352	D003924	Dysregulation of islet enhancers is relevant to the mechanisms underlying type 2 diabetes.	Luciferase Reporter Assay	"We next attempted to define functional enhancer variants within established GWAs loci that might be causal for T2D susceptibility. 
These results illustrate how islet accessible chromatin maps can pinpoint functional cis-regulatory variants that are strong candidates for
a causal role in driving T2D-association signals."	"FOXA2,MAFB,NKX2-2"	ChIP-seq	"To determine the genomic binding sites of these islet transcription factors, we used chromatin immunoprecipitation and sequencing(ChIP-seq) in duplicate human islet samples and identified 3,911-32,747 high-confidence sites per transcription factor. "	--	--	--	>2KB	
E_01_004	26656844	--	hg19	chr13	98307793	98312281	Human	Esophageal Cell	High throughput	"ChIP-seq,Luciferase,3C每qPCR,CRISPR/Cas9,siRNA"	Super-Enhancer	"Similarly, the esophageal carcinoma amplicon also harbored a superEnhancer as demonstrated by the H3K27ac ChIP-seq profile of esophageal cells, and esophageal carcinoma tumors with this amplicon exhibited a trend toward increased KLF5 expression."	KLF5	Esophageal Carcinoma	DOID:1107	--	--	--	--	--	--	--	--	--	--	>2KB	
E_01_005	24413736	--	hg19	chr6	170855462	170856787	Human	"HEK-293,汕-Cell"	Low throughput	"RNA-seq,ChIP-seq,ChIP,EMSA,PCR,4C,Luciferase Reporter Assay"	Enhancer	"In sharp contrast, islet-specific gene loci showed an increased density of islet transcription factor-bound active Enhancer (C3) accessible chromatin sites.Examples of islet-specific transcription factors binding to the 5∩ end of ubiquitously active genes TBP and PSMB1, or to the islet-specific T2D susceptibility gene SLC30A8."	TBP	Type 2 Diabetes Mellitus	DOID:9352	D003924	Sequence variants associated with type 2 diabetes and fasting glycemia are enriched in these clustered islet enhancers and identify trait-associated variants that disrupt DNA binding and islet enhancer activity.	Luciferase Reporter Assay	"Transcription factor-bound C3 sites were also cloned in Gateway-adapted PGL4.23 and cotransfected in triplicate wells with pRL in MIN6 and 3T3 cells, and luciferase activity was measured after 48 hr. Results were expressed as luciferase/renilla ratios in vectors carrying putative Enhancers, relative to the ratio in empty PGL4.23 vector."	"FOXA2,MAFB,NKX2-2"	ChIP-seq	"To determine the genomic binding sites of these islet transcription factors, we used chromatin immunoprecipitation and sequencing(ChIP-seq) in duplicate human islet samples and identified 3,911-32,747 high-confidence sites per transcription factor. "	rs58692659	37775652	"Luciferase Reporter Assay,EMSA"	>2KB	
E_01_006	26656844	--	hg19	chr8	129160000	129215000	Human	"A549,NCI-H358,NCI-H2009"	Low throughput	"ChIP-seq,Luciferase,3C每qPCR,CRISPR/Cas9,siRNA"	Enhancer	"Duplication of the e3 Enhancer in the luciferase reporter construct resulted in >2-fold higher luciferase expression relative to the construct with a single copy of e3, indicating that an increase in copy number of the Enhancer region may upregulate target gene expression. Targeting KRAB-dCas9 to the e3 Enhancer using two independent single guide RNAs (sgRNAs) resulted in a marked decrease in H3K27ac, as compared to cells expressing a control, non-targeting sgRNA or KRAB-dCas9 only."	MYC	Lung Adenocarcinoma	DOID:3910	D000077192	"Copy number gain of the e3 Enhancer region drives MYC overexpression, which contributes to tumorigenic phenotype"	"ChIP-seq,CRISPR/Cas9,PCR"	"Finally, repression of the e3 Enhancer led to a significant decrease in both anchorage-independent and clonogenic growth, suggesting that activity of the e3 Enhancer is critical for the tumorigenicity of lung adenocarcinoma cells. These results suggest that copy number gain of the e3 Enhancer region drives MYC overexpression, which contributes to tumorigenic phenotype."	"NFE2L2,CEBPB"	"ChIP-seq,siRNA Knockdown,Luciferase reporter assays"	"Short interfering RNA (siRNA)-mediated knockdown of NFE2L2 and CEBPB in A549 cells led to a significant reduction in e3-driven luciferase reporter activity as compared to exposure to control siRNAs. Binding of NFE2L2 and CEBP汕 to the super-Enhancer was subsequently confirmed by ChIP-seq, with the greatest enrichment at the e3 constituent Enhancer."	--	--	--	>2KB	
E_01_007	26374622	--	hg19	chr21	36180372	36181392	Human	"Leukemia Cell Lines,K-562"	Low throughput	Luciferase Reporter Assay	Enhancer	"Remarkably,an approximately 200 Enhancer located at +23 of the first intron of RUNX1 was identified to function as a crucial cis-regulatory element in hematopoietic stem cell generation. The identity of this +23 Enhancer was confirmed by an independent study. allele and rs2268276 A allele (Figure 2b, left)."	RUNX1	Acute Myeloid Leukemia	DOID:9119	D015470	Rs2249650 and rs2268276 at RUNX1 intron 5.2 enhancer were found to be associated with acute myeloid leukemia susceptibility.	"Luciferase Reporter Assay,EMSA"	"We next narrowed 510bp enhancer down into 69 bp (20bp+rs2249650(A/G)-rs2268276(G/A)+20bp) DNA and cloned these nucleotides into pGL3-promoter to construct 1A2G, 1G2A, 1A2A, and 1G2G reporters and measured their activities. Both 1A2A and 1G2G reporters had medium luciferase activity. The activity of 1A2A reporter was not significantly different from that of 1A2G reporter whereas the activity of 1G2G was significantly different from that of 1A2G. Thus, rs2249650 contributed to reporter activities more than rs2268276."	SPI1	EMSA	"We checked the 69bp DNA and found that a classical consensus PU.1 binding sequence (GAGGAA) is located between rs2249650 and rs2268276 (Figure 1b). We adopted supershift to test if the differentially bound proteins in EMSA is PU.1. Indeed, PU.1 antibodies resulted in the lost of interested protein (Figure 3b)."	"rs2249650,rs2268276"	"34808689, 34808717 "	Luciferase Reporter Assay	Intron	
E_01_008	26656844	--	hg19	chr13	27523026	27544353	Human	Colon Crypt Cell	High throughput	"ChIP-seq,Luciferase,3C每qPCR,CRISPR/Cas9,siRNA"	Super-Enhancer	"CRC tumors containing the chromosome 13q amplicon exhibited significantly higher expression of the nearest gene, USP12, encoding ubiquitin-specific peptidase 12, a deubiquitinating enzyme implicated in prostate cancer."	USP12	Colorectal Carcinoma	DOID:0080199	D015179	--	--	--	--	--	--	--	--	--	>2KB	
E_01_009	26656844	--	hg19	chr20	48997377	49019434	Human	Hep G2	High throughput	"ChIP-seq,Luciferase,3C每qPCR,CRISPR/Cas9,siRNA"	Super-Enhancer	"In liver hepatocellular carcinoma tumors with the chromosome 20q amplicon, the expression of the second nearest gene, PARD6B, rather than the closest gene, PTPN1, was upregulated, suggesting that PARD6B is the target gene."	PARD6B	Hepatocellular Carcinoma	DOID:684	D006528	--	--	--	--	--	--	--	--	--	>2KB	
E_01_010	26673704	--	hg19	chr7	117038917	117040917	Human	Caco-2	Low throughput	"RT-qPCR,4C,ChIP,CRISPR/Cas9"	Enhancer	"The promoter viewpoint showed that deletion of ?20.9 increased interactions with the ?80.1 sites but reduced interactions with specific,but not all Enhancer elements in the 5 half of the locus (indicated by arrows)."	CFTR	--	--	--	--	--	--	"FOXA1,FOXA2,HNF1A,CDX2"	"4C,ChIP,CRISPR/Cas9"	"Approximately 1.2 encompassing the binding sites for critical transcription factors driving the intron 11 Enhancer (FOXA1/2,HNF1 and CDX2)."	--	--	--	>2KB	
