BindingID	chromo	middle		
NANOG:6422	chr1	704024		
NANOG:76341	chr1	704461		
NANOG:19022	chr1	752755		
NANOG:62105	chr1	771043		
NANOG:71202	chr1	795178		
NANOG:79430	chr1	830044		
NANOG:24766	chr1	830681		
NANOG:61041	chr1	865623		
NANOG:5044	chr1	867267		
NANOG:79385	chr1	892163		
NANOG:38315	chr1	925620		
NANOG:27403	chr1	1041663		
NANOG:54355	chr1	1083194		
NANOG:83376	chr1	1278285		
NANOG:18241	chr1	1279090		
NANOG:82182	chr1	1281298		
NANOG:54796	chr1	1283871		
NANOG:9687	chr1	1300723		
NANOG:64473	chr1	1301746		
NANOG:34074	chr1	1324811		
NANOG:77757	chr1	1327397		
NANOG:4110	chr1	1332554		
NANOG:49975	chr1	1334761		
NANOG:32804	chr1	1335277		
NANOG:2005	chr1	1335803		
NANOG:83718	chr1	1337187		
NANOG:60843	chr1	1345201		
NANOG:65412	chr1	1348075		
NANOG:51517	chr1	1351057		
NANOG:83322	chr1	1352558		
NANOG:48289	chr1	1359735		
NANOG:76337	chr1	1361060		
NANOG:82183	chr1	1366307		
NANOG:19768	chr1	1396934		
NANOG:45231	chr1	1430410		
NANOG:60907	chr1	1437293		
NANOG:25561	chr1	1500096		
NANOG:50298	chr1	1555679		
NANOG:33339	chr1	1558617		
NANOG:52581	chr1	1570331		
NANOG:3291	chr1	1580717		
NANOG:28137	chr1	1613118		
NANOG:1162	chr1	1613791		
NANOG:20356	chr1	1645709		
NANOG:24365	chr1	1701595		
NANOG:61940	chr1	1748241		
NANOG:19842	chr1	1780775		
NANOG:49128	chr1	1918983		
NANOG:34100	chr1	1919773		
NANOG:27901	chr1	2037478		
NANOG:79822	chr1	2111072		
NANOG:73818	chr1	2115268		
NANOG:68549	chr1	2120806		
NANOG:6262	chr1	2169791		
NANOG:78768	chr1	2200843		
NANOG:57524	chr1	2232880		
NANOG:32411	chr1	2312916		
NANOG:29037	chr1	2450573		
NANOG:37254	chr1	2465211		
NANOG:28286	chr1	2468609		
NANOG:50254	chr1	2574843		
NANOG:47077	chr1	2575439		
NANOG:87996	chr1	2576226		
NANOG:7928	chr1	2579278		
NANOG:17320	chr1	2579929		
NANOG:21466	chr1	2580932		
NANOG:15312	chr1	2582620		
NANOG:48908	chr1	2586073		
NANOG:75491	chr1	2605890		
NANOG:54511	chr1	2608226		
NANOG:46030	chr1	2978670		
NANOG:74943	chr1	3221964		
NANOG:54869	chr1	3258976		
NANOG:23906	chr1	3275653		
NANOG:87720	chr1	3300392		
NANOG:53661	chr1	3361855		
NANOG:51050	chr1	3378102		
NANOG:86944	chr1	3471887		
NANOG:84426	chr1	3653103		
NANOG:10696	chr1	3699961		
NANOG:32955	chr1	3763836		
NANOG:31221	chr1	3806603		
NANOG:41471	chr1	4611059		
NANOG:78595	chr1	4616372		
NANOG:58868	chr1	4617361		
NANOG:13290	chr1	4671158		
NANOG:14820	chr1	4715363		
NANOG:28023	chr1	4781272		
NANOG:86176	chr1	4786237		
NANOG:82118	chr1	4840644		
NANOG:67340	chr1	4925638		
NANOG:87923	chr1	4979458		
NANOG:2041	chr1	4979987		
NANOG:46544	chr1	5004816		
NANOG:13023	chr1	5012749		
NANOG:81085	chr1	5013907		
NANOG:75019	chr1	5024812		
NANOG:83493	chr1	5036672		
NANOG:66102	chr1	5072868		
NANOG:15971	chr1	5078467		
NANOG:10415	chr1	5079296		
NANOG:46251	chr1	5079940		
NANOG:45060	chr1	5080602		
NANOG:12941	chr1	5082495		
NANOG:82222	chr1	5095284		
NANOG:82909	chr1	5124089		
NANOG:73744	chr1	5151568		
NANOG:141	chr1	5185750		
NANOG:33793	chr1	5227673		
NANOG:3869	chr1	5407687		
NANOG:25707	chr1	5413554		
NANOG:37851	chr1	5749852		
NANOG:82580	chr1	5806458		
NANOG:30532	chr1	5814855		
NANOG:8508	chr1	5879744		
NANOG:83769	chr1	5916002		
NANOG:71421	chr1	5953241		
NANOG:63321	chr1	5963459		
NANOG:47674	chr1	5975323		
NANOG:43017	chr1	6035357		
NANOG:66658	chr1	6140491		
NANOG:73440	chr1	6166319		
NANOG:55090	chr1	6182271		
NANOG:87197	chr1	6187732		
NANOG:88142	chr1	6192175		
NANOG:18738	chr1	6222201		
NANOG:4121	chr1	6223231		
NANOG:7333	chr1	6224883		
NANOG:19229	chr1	6228551		
NANOG:19020	chr1	6318385		
