label	chr	pos1	pos2	type	elem	id	flank_side	elements	strand	ENdb_id	jiang_TEs	jiang_SEs	tonekaboni_COREs_h1	barakat_naive_CSS_RPP	barakat_primed_CSS_RPP	barakat_naive_SE	barakat_primed_SE	kunarso_CTCF_peaks	kunarso_NANOG_peaks	kunarso_OCT4_peaks	HACER_GRO_seq	lu_active_RNAseq	wang_id	wang_state	zhang_RNAseq_rank	goke_id	goke_stage	carter_ltr_subfamily	ATAC_seq_peaks	H1_ChromHMM	H1_CIS	endo_ChromHMM	endo_CIS
flanked:LTR7_HERVH-int:1321	chr1	5044795	5053098	flanked	LTR7_HERVH-int	1321	NA	5	+	NA	TE_02_06511017, TE_02_12402486	NA	NA	184	NA	NA	NA	NA	2	NA	GSE41009_918, GSE64758_141	NA	HERVH_2	moderately	257	NA	NA	7up2	1	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1325	chr1	32432336	32438038	flanked	LTR7_HERVH-int	1325	NA	8	+	NA	TE_00_01203294, TE_00_01306685, TE_01_02008830, TE_01_03101211, TE_01_04206986, TE_01_05411808, TE_02_04203503, TE_02_12210466, TE_02_17711192, TE_02_21308304, TE_02_28809465, TE_02_31007492, TE_02_31411094, TE_02_32014915, TE_02_32901191, TE_00_01903274, TE_00_02403413, TE_01_03300941, TE_02_03603342, TE_02_03803457, TE_02_04006447, TE_02_04300121, TE_02_06402190, TE_02_06504191, TE_02_06703173, TE_02_12502924, TE_02_32801623	NA	NA	NA	NA	NA	NA	NA	2	NA	GSE41009_810	NA	HERVH_10	moderately	87	NA	NA	NA	1	TxWk, EnhA1	cont_Tx_EnhG2, cont_EnhA	EnhA2	cont_Het_Rpts
flanked:LTR7_HERVH-int:1328	chr1	38425113	38430779	flanked	LTR7_HERVH-int	1328	NA	8	+	NA	TE_00_01200802, TE_00_01302105, TE_00_01805310, TE_00_01905199, TE_00_02401010, TE_01_03102287, TE_01_03306344, TE_02_01703688, TE_02_03801663, TE_02_04201192, TE_02_04302843, TE_02_06404399, TE_02_06501804, TE_02_06604953, TE_02_06702848, TE_02_09402733, TE_02_12504087, TE_02_32808591	Sample_02_036	NA	NA	246, 293	NA	NA	NA	2	1	E-MTAB-742_21, GSE41009_847, GSE64758_133	active	HERVH_14	highly	55	348709	hescp10	7d2	1	TssFlnkU, TssFlnk, TssA, TxWk, EnhA2, EnhG2	cont_Tss_noEnh, cont_TxWk_Enh, cont_TxWk_EnhWk, cont_EnhA	TssA, TssFlnk	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1330	chr1	43085533	43091157	flanked	LTR7_HERVH-int	1330	NA	8	+	NA	TE_00_01204809, TE_00_01905574, TE_01_03101229, TE_01_03305922, TE_02_03606322, TE_02_04204356, TE_02_06407027, TE_02_06512167, TE_02_06604761, TE_02_06709821, TE_02_09402253, TE_02_32807897, TE_02_03821679	NA	NA	NA	720	NA	NA	NA	2	NA	GSE41009_885	NA	HERVH_17	moderately	386	NA	NA	NA	2	Het, EnhWk, TxWk, EnhA2, TssFlnkU	cont_Low_EnhWk, cont_TxWk_EnhWk, cont_EnhA	NA	NA
flanked:LTR7_HERVH-int:1331	chr1	48209001	48214821	flanked	LTR7_HERVH-int	1331	NA	8	-	NA	TE_01_06917205, TE_01_07011890, TE_01_07212955, TE_01_08615376, TE_02_03613095, TE_02_04019492, TE_02_06403454, TE_02_06702777, TE_02_09509146, TE_02_10517677, TE_02_13300885, TE_02_16818272, TE_02_16916804, TE_02_17018348, TE_02_18002941, TE_02_18102426, TE_02_18303686, TE_02_18500210, TE_02_25707223, TE_02_32801364, TE_02_41702521, TE_01_07309100, TE_01_08408482, TE_02_04507543, TE_02_06501375, TE_02_18400366	Sample_00_024, Sample_02_038, Sample_02_043, Sample_02_418	NA	319, 184	159	NA	NA	NA	1	1	GSE41009_912	NA	HERVH_19	moderately	111	104709	hescp0	7d2	1	EnhWk, TxWk	cont_Low_EnhWk, cont_Het_Rpts	TxWk	cont_Low_EnhWk
flanked:LTR7_HERVH-int:1333	chr1	54897903	54910857	flanked	LTR7_HERVH-int	1333	NA	11	-	NA	TE_02_03817411, TE_00_01112944, TE_00_02303931, TE_00_02401064, TE_01_01812917, TE_01_01915263, TE_01_05606010, TE_01_05810005, TE_01_06107906, TE_01_06407868, TE_01_08714615, TE_02_00800939, TE_02_00901097, TE_02_01007392, TE_02_01105969, TE_02_01205158, TE_02_01302776, TE_02_03000660, TE_02_05517034, TE_02_05719857, TE_02_06312026, TE_02_06906468, TE_02_07612293, TE_02_09505435, TE_02_10518037, TE_02_10803900, TE_02_11209825, TE_02_16819211, TE_02_16916938, TE_02_17013091, TE_02_17119580, TE_02_17217989, TE_02_17323563, TE_02_17902502, TE_02_18412112, TE_02_20915383, TE_02_24310749, TE_02_26309259, TE_02_26410940, TE_02_26509464, TE_02_26804314, TE_02_27001404, TE_02_27407625, TE_02_29417169, TE_02_30114934, TE_02_31705558, TE_02_35910874, TE_02_38214976, TE_02_39626639, TE_02_43000841, TE_02_03919737, TE_02_04306142, TE_02_11103940, TE_02_26701977, TE_02_42800331, TE_02_42900048	NA	NA	175	464	NA	NA	NA	1	NA	GSE41009_947, GSE64758_147	NA	HERVH_21	inactive	999, 303	NA	NA	7d1, 7d2	NA	Het	cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1334	chr1	55022707	55028369	flanked	LTR7_HERVH-int	1334	NA	6	+	NA	TE_00_00317397, TE_01_03909404, TE_01_06914937, TE_01_08415396, TE_02_01118606, TE_02_01912685, TE_02_02115582, TE_02_03215119, TE_02_03626654, TE_02_03828552, TE_02_04310757, TE_02_06509605, TE_02_08710212, TE_02_12405175, TE_02_17127901, TE_02_17907863, TE_02_18316549, TE_02_18516376, TE_02_23711530, TE_02_24007455, TE_02_24111241, TE_02_24211885, TE_02_25408623, TE_02_31119719, TE_02_32408719, TE_02_35210215, TE_02_35413652, TE_02_35512727, TE_02_35916206, TE_02_36506734, TE_02_42412338, TE_02_42811360, TE_02_43011806, TE_01_03601527, TE_02_05604980, TE_02_06403710, TE_02_06705313, TE_02_08603142, TE_02_17230386, TE_02_35706466, TE_02_39600637, TE_01_08200170	Sample_02_327	NA	473, 210	NA	NA	NA	NA	1	NA	NA	active	HERVH_22	moderately	187	NA	NA	7up1	NA	EnhWk, ReprPCWk	cont_Low_TssBiv, cont_TxWk_EnhWk	EnhA1	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1335	chr1	64349942	64355761	flanked	LTR7_HERVH-int	1335	NA	8	-	NA	TE_02_08702277, TE_00_02407726, TE_01_05500441, TE_01_05700441, TE_02_06402147, TE_02_06501276, TE_02_06602264, TE_02_06703574, TE_02_09501577, TE_02_24400681	NA	NA	NA	147	NA	NA	NA	2	3	GSE41009_1008, GSE64758_156	NA	HERVH_24	moderately	244	348804, 104713	hescp0, hescp10	7up1	NA	NA	NA	ReprPCWk, ReprPC	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1336	chr1	65643206	65648034	flanked	LTR7_HERVH-int	1336	NA	4	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	active	HERVH_25	moderately	285	NA	NA	7u2	NA	Het	cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1337	chr1	68386003	68391992	flanked	LTR7_HERVH-int	1337	NA	8	+	NA	TE_00_04105345, TE_01_01801404, TE_01_01901009, TE_01_02601972, TE_01_02700989, TE_01_03607005, TE_01_04103491, TE_01_04501583, TE_01_05606674, TE_01_05904126, TE_01_06201720, TE_02_00505050, TE_02_03312695, TE_02_05301385, TE_02_05501903, TE_02_05708584, TE_02_06305154, TE_02_07301413, TE_02_07401580, TE_02_07603329, TE_02_08610528, TE_02_09700930, TE_02_09900475, TE_02_10503466, TE_02_10703742, TE_02_10803937, TE_02_11011411, TE_02_11103988, TE_02_11301519, TE_02_11607757, TE_02_15106338, TE_02_16402201, TE_02_16501727, TE_02_17101999, TE_02_17204280, TE_02_17302244, TE_02_17503195, TE_02_17704935, TE_02_17802230, TE_02_17905496, TE_02_18000360, TE_02_18100856, TE_02_18305441, TE_02_18404721, TE_02_21005797, TE_02_23604100, TE_02_24004028, TE_02_24203521, TE_02_25900286, TE_02_26000225, TE_02_26112168, TE_02_28002534, TE_02_28102817, TE_02_28204861, TE_02_30101766, TE_02_30501494, TE_02_31604806, TE_02_32308314, TE_02_39503561, TE_02_40204797, TE_02_40600421, TE_02_42300360, TE_03_00101268, TE_03_00302439, TE_03_00507846, TE_03_01009307, TE_03_01314482, TE_02_02102186, TE_02_05401869, TE_02_08001845, TE_02_11200466, TE_02_12406341, TE_02_14100165, TE_02_14200022, TE_02_14300174, TE_02_20300629, TE_02_22803408, TE_02_29403043, TE_02_31101832, TE_02_35200285, TE_02_40700638, TE_02_40801021, TE_02_40900683, TE_02_41000588	Sample_02_258, Sample_02_405, Sample_01_034, Sample_01_058, Sample_02_209, Sample_02_422, Sample_02_426, Sample_02_427, Sample_02_433	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_1020, GSE64758_157	active	HERVH_26	moderately	496	104643	hescp0, hescp10	7u2	NA	Het	cont_Low_TssBiv	NA	NA
