chr	H1_chromhmm	H1_CIS	cell_type	chr_1	pos1_1	pos2_1	element_lab	elem_type	elem_id	len	strand	main_lab	main_type	main_elem	main_id	flank_side	ltr_loc
chr10	ReprPCWk	cont_Low_EnhWk	h1	chr10	1352128	1352980	HERVH-int:749	HERVH-int	749	5723	+	flanked:LTR7_HERVH-int:1398	flanked	LTR7_HERVH-int	1398	NA	NA
chr10	ReprPCWk	cont_Low_EnhWk	h1	chr10	1352982	1353162	HERVH-int:750	HERVH-int	750	1214	+	flanked:LTR7_HERVH-int:1398	flanked	LTR7_HERVH-int	1398	NA	NA
chr10	ReprPCWk	cont_Low_EnhWk	h1	chr10	1353158	1353972	HERVH-int:751	HERVH-int	751	5318	+	flanked:LTR7_HERVH-int:1398	flanked	LTR7_HERVH-int	1398	NA	NA
chr10	ReprPCWk	cont_Low_EnhWk	h1	chr10	1353973	1354220	HERVH-int:752	HERVH-int	752	1422	+	flanked:LTR7_HERVH-int:1398	flanked	LTR7_HERVH-int	1398	NA	NA
chr10	ReprPCWk	cont_Low_EnhWk	h1	chr10	1354220	1354570	LTR7:753	LTR7	753	1946	+	flanked:LTR7_HERVH-int:1398	flanked	LTR7_HERVH-int	1398	NA	3prime
chr10	Het	cont_TxWk_EnhWk	h1	chr10	5470767	5471177	LTR7:757	LTR7	757	2808	+	flanked:LTR7_HERVH-int:1399	flanked	LTR7_HERVH-int	1399	NA	5prime
chr10	Het	cont_TxWk_EnhWk	h1	chr10	5471179	5472793	HERVH-int:758	HERVH-int	758	25266	+	flanked:LTR7_HERVH-int:1399	flanked	LTR7_HERVH-int	1399	NA	NA
chr10	Het	cont_TxWk_EnhWk	h1	chr10	5473092	5475360	HERVH-int:759	HERVH-int	759	25266	+	flanked:LTR7_HERVH-int:1399	flanked	LTR7_HERVH-int	1399	NA	NA
chr10	EnhWk	cont_EnhA_EnhWk	h1	chr10	5476604	5477012	LTR7:763	LTR7	763	2772	+	flanked:LTR7_HERVH-int:1399	flanked	LTR7_HERVH-int	1399	NA	3prime
chr10	Het	cont_Het_Rpts	h1	chr10	6008033	6008421	LTR7B:764	LTR7B	764	2779	+	solo:LTR7B:34	solo	LTR7B	34	NA	NA
chr10	EnhA1	cont_EnhA	h1	chr10	6629578	6630029	LTR7:766	LTR7	766	3782	-	flanked:LTR7_HERVH-int:1400	flanked	LTR7_HERVH-int	1400	NA	3prime
chr10	EnhA2	cont_EnhA	h1	chr10	6797082	6797533	LTR7:774	LTR7	774	3581	-	flanked:LTR7_HERVH-int:1401	flanked	LTR7_HERVH-int	1401	NA	3prime
chr10	EnhA2	cont_EnhA	h1	chr10	6802502	6802953	LTR7:781	LTR7	781	3539	-	flanked:LTR7_HERVH-int:1401	flanked	LTR7_HERVH-int	1401	NA	5prime
chr10	EnhA1	cont_Low_EnhWk	h1	chr10	17022862	17022904	LTR7B:782	LTR7B	782	287	+	solo:LTR7B:12	solo	LTR7B	12	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	17630036	17632054	HERVH-int:786	HERVH-int	786	13834	-	nonflanked:LTR7Y_HERVH-int:2370:5prime	nonflanked	LTR7Y_HERVH-int	2370	5prime	NA
chr10	TxWk	cont_Tx_EnhG2	h1	chr10	18582949	18583421	LTR7C:788	LTR7C	788	3155	+	solo:LTR7C:16	solo	LTR7C	16	NA	NA
chr10	TxWk	cont_TxWk_Enh	h1	chr10	18597964	18598392	LTR7B:789	LTR7B	789	3517	+	solo:LTR7B:17	solo	LTR7B	17	NA	NA
chr10	EnhA1	cont_Low_EnhWk	h1	chr10	20119203	20119603	LTR7:790	LTR7	790	2479	-	flanked:LTR7_HERVH-int:1402	flanked	LTR7_HERVH-int	1402	NA	3prime
chr10	Het	cont_Het_Rpts	h1	chr10	20121492	20124531	HERVH-int:796	HERVH-int	796	20034	-	flanked:LTR7_HERVH-int:1402	flanked	LTR7_HERVH-int	1402	NA	NA
chr10	Het	cont_Het_Rpts	h1	chr10	20124533	20124934	LTR7:797	LTR7	797	2482	-	flanked:LTR7_HERVH-int:1402	flanked	LTR7_HERVH-int	1402	NA	5prime
chr10	EnhA1	cont_EnhA	h1	chr10	20370845	20371294	LTR7:798	LTR7	798	3360	-	solo:LTR7:18	solo	LTR7	18	NA	NA
chr10	EnhA2	cont_EnhA	h1	chr10	20370845	20371294	LTR7:798	LTR7	798	3360	-	solo:LTR7:18	solo	LTR7	18	NA	NA
chr10	TssFlnkU	cont_EnhA	h1	chr10	20370845	20371294	LTR7:798	LTR7	798	3360	-	solo:LTR7:18	solo	LTR7	18	NA	NA
chr10	EnhA1	cont_EnhA	h1	chr10	21751373	21751765	LTR7:799	LTR7	799	2760	-	solo:LTR7:19	solo	LTR7	19	NA	NA
chr10	EnhA2	cont_EnhA	h1	chr10	21751373	21751765	LTR7:799	LTR7	799	2760	-	solo:LTR7:19	solo	LTR7	19	NA	NA
chr10	TxWk	cont_Low_EnhWk	h1	chr10	23457308	23457737	LTR7B:800	LTR7B	800	2126	-	solo:LTR7B:20	solo	LTR7B	20	NA	NA
chr10	EnhWk	cont_Low_EnhWk	h1	chr10	25902388	25902799	LTR7:812	LTR7	812	2820	-	solo:LTR7:21	solo	LTR7	21	NA	NA
chr10	EnhWk	cont_Low_TssBiv	h1	chr10	27470486	27470937	LTR7:818	LTR7	818	3399	+	flanked:LTR7_HERVH-int:1405	flanked	LTR7_HERVH-int	1405	NA	3prime
chr10	TxWk	cont_Low_TssBiv	h1	chr10	32137886	32138463	HERVH-int:825	HERVH-int	825	1981	-	flanked:LTR7B_HERVH-int:1406	flanked	LTR7B_HERVH-int	1406	NA	NA
chr10	TxWk	cont_Low_TssBiv	h1	chr10	32138463	32138852	LTR7B:826	LTR7B	826	2647	-	flanked:LTR7B_HERVH-int:1406	flanked	LTR7B_HERVH-int	1406	NA	5prime
chr10	TxWk	cont_TxWk_EnhWk	h1	chr10	33533193	33533304	LTR7Y:827	LTR7Y	827	831	+	solo:LTR7Y:24	solo	LTR7Y	24	NA	NA
